gender,Aimag,TIME,value
TOTAL,   Bulgan,2017,638.8
TOTAL,   Bulgan,2016,612.1
TOTAL,   Bulgan,2015,607.8
TOTAL,   Bulgan,2014,583.6
TOTAL,   Bulgan,2013,621.6
TOTAL,   Bulgan,2012,528.6
TOTAL,   Bulgan,2011,395.8
TOTAL,   Bulgan,2010,311.5
TOTAL,   Bulgan,2009,305.8
TOTAL,   Bulgan,2008,270.3
TOTAL,   Bulgan,2007,155.4
TOTAL,   Bulgan,2006,116.6
TOTAL,   Bulgan,2005,103.3
TOTAL,   Bulgan,2004,93.2
TOTAL,   Bulgan,2003,74.7
TOTAL,   Bulgan,2002,65.3
TOTAL,   Bulgan,2001,56.3
TOTAL,   Bulgan,2000,42.3
TOTAL,   Bulgan,1999,
TOTAL,   Bulgan,1998,
TOTAL,   Bulgan,1997,
TOTAL,   Bulgan,1996,
TOTAL,   Bulgan,1995,
TOTAL,   Uvurkhangai,2024,1928.3
TOTAL,   Uvurkhangai,2023,1413.7
TOTAL,   Uvurkhangai,2022,1086.7
TOTAL,   Uvurkhangai,2021,919.7
TOTAL,   Uvurkhangai,2020,891.0
TOTAL,   Uvurkhangai,2019,777.5
TOTAL,   Uvurkhangai,2018,653.1
TOTAL,   Uvurkhangai,2017,631.5
TOTAL,   Uvurkhangai,2016,598.6
TOTAL,   Uvurkhangai,2015,578.2
TOTAL,   Uvurkhangai,2014,572.9
TOTAL,   Uvurkhangai,2013,587.5
TOTAL,   Uvurkhangai,2012,495.5
TOTAL,   Uvurkhangai,2011,364.0
TOTAL,   Uvurkhangai,2010,298.1
TOTAL,   Uvurkhangai,2009,276.0
TOTAL,   Uvurkhangai,2008,256.5
TOTAL,   Uvurkhangai,2007,146.8
TOTAL,   Uvurkhangai,2006,113.1
TOTAL,   Uvurkhangai,2005,93.6
TOTAL,   Uvurkhangai,2004,87.2
TOTAL,   Uvurkhangai,2003,66.3
TOTAL,   Uvurkhangai,2002,67.4
TOTAL,   Uvurkhangai,2001,47.2
TOTAL,   Uvurkhangai,2000,57.1
TOTAL,   Uvurkhangai,1999,
TOTAL,   Uvurkhangai,1998,
TOTAL,   Uvurkhangai,1997,
TOTAL,   Uvurkhangai,1996,
TOTAL,   Uvurkhangai,1995,
TOTAL,   Khuvsgul,2024,1808.1
TOTAL,   Khuvsgul,2023,1300.5
TOTAL,   Khuvsgul,2022,990.4
TOTAL,   Khuvsgul,2021,878.8
TOTAL,   Khuvsgul,2020,853.3
TOTAL,   Khuvsgul,2019,736.3
TOTAL,   Khuvsgul,2018,619.9
TOTAL,   Khuvsgul,2017,605.7
TOTAL,   Khuvsgul,2016,575.5
TOTAL,   Khuvsgul,2015,573.9
TOTAL,   Khuvsgul,2014,565.3
TOTAL,   Khuvsgul,2013,608.8
TOTAL,   Khuvsgul,2012,425.9
TOTAL,   Khuvsgul,2011,310.3
TOTAL,   Khuvsgul,2010,271.0
TOTAL,   Khuvsgul,2009,268.1
TOTAL,   Khuvsgul,2008,239.2
TOTAL,   Khuvsgul,2007,140.4
TOTAL,   Khuvsgul,2006,102.0
TOTAL,   Khuvsgul,2005,72.9
TOTAL,   Khuvsgul,2004,73.0
TOTAL,   Khuvsgul,2003,58.3
TOTAL,   Khuvsgul,2002,51.6
TOTAL,   Khuvsgul,2001,51.9
TOTAL,   Khuvsgul,2000,50.9
TOTAL,   Khuvsgul,1999,
TOTAL,   Khuvsgul,1998,
TOTAL,   Khuvsgul,1997,
TOTAL,   Khuvsgul,1996,
TOTAL,   Khuvsgul,1995,
TOTAL,   Orkhon,2024,3104.6
TOTAL,   Orkhon,2023,2505.6
TOTAL,   Orkhon,2022,2013.8
TOTAL,   Orkhon,2021,1723.5
TOTAL,   Orkhon,2020,1628.3
TOTAL,   Orkhon,2019,1417.6
TOTAL,   Orkhon,2018,1216.4
TOTAL,   Orkhon,2017,1061.9
TOTAL,   Orkhon,2016,1124.3
TOTAL,   Orkhon,2015,1069.1
TOTAL,   Orkhon,2014,1022.0
TOTAL,   Orkhon,2013,687.3
TOTAL,   Orkhon,2012,645.6
TOTAL,   Orkhon,2011,462.9
TOTAL,   Orkhon,2010,372.5
TOTAL,   Orkhon,2009,319.5
TOTAL,   Orkhon,2008,286.4
TOTAL,   Orkhon,2007,195.5
TOTAL,   Orkhon,2006,149.0
TOTAL,   Orkhon,2005,121.6
TOTAL,   Orkhon,2004,107.0
TOTAL,   Orkhon,2003,98.3
TOTAL,   Orkhon,2002,72.5
TOTAL,   Orkhon,2001,71.4
TOTAL,   Orkhon,2000,65.9
TOTAL,   Orkhon,1999,
TOTAL,   Orkhon,1998,
TOTAL,   Orkhon,1997,
TOTAL,   Orkhon,1996,
TOTAL,   Orkhon,1995,
TOTAL,Central region,2024,2360.6
TOTAL,Central region,2023,1858.1
TOTAL,Central region,2022,1403.7
TOTAL,Central region,2021,1158.7
TOTAL,Central region,2020,1088.7
TOTAL,Central region,2019,960.5
TOTAL,Central region,2018,829.1
TOTAL,Central region,2017,774.5
TOTAL,Central region,2016,712.9
TOTAL,Central region,2015,700.7
TOTAL,Central region,2014,692.2
TOTAL,Central region,2013,696.7
TOTAL,Central region,2012,566.5
TOTAL,Central region,2011,452.0
TOTAL,Central region,2010,359.3
TOTAL,Central region,2009,298.1
TOTAL,Central region,2008,292.0
TOTAL,Central region,2007,177.5
TOTAL,Central region,2006,136.0
TOTAL,Central region,2005,108.0
TOTAL,Central region,2004,99.3
TOTAL,Central region,2003,84.5
TOTAL,Central region,2002,73.1
TOTAL,Central region,2001,63.7
TOTAL,Central region,2000,61.1
TOTAL,Central region,1999,
TOTAL,Central region,1998,
TOTAL,Central region,1997,
TOTAL,Central region,1996,
TOTAL,Central region,1995,
TOTAL,   Dornogovi,2024,2318.0
TOTAL,   Dornogovi,2023,1808.0
TOTAL,   Dornogovi,2022,1383.2
TOTAL,   Dornogovi,2021,1213.8
TOTAL,   Dornogovi,2020,1131.9
TOTAL,   Dornogovi,2019,1014.7
TOTAL,   Dornogovi,2018,895.5
TOTAL,   Dornogovi,2017,839.1
TOTAL,   Dornogovi,2016,779.3
TOTAL,   Dornogovi,2015,755.6
TOTAL,   Dornogovi,2014,739.6
TOTAL,   Dornogovi,2013,643.6
TOTAL,   Dornogovi,2012,488.6
TOTAL,   Dornogovi,2011,359.8
TOTAL,   Dornogovi,2010,303.2
TOTAL,   Dornogovi,2009,278.1
TOTAL,   Dornogovi,2008,253.4
TOTAL,   Dornogovi,2007,146.5
TOTAL,   Dornogovi,2006,115.3
TOTAL,   Dornogovi,2005,83.9
TOTAL,   Dornogovi,2004,74.9
TOTAL,   Dornogovi,2003,64.6
TOTAL,   Dornogovi,2002,51.4
TOTAL,   Dornogovi,2001,61.5
TOTAL,   Dornogovi,2000,40.3
TOTAL,   Dornogovi,1999,
TOTAL,   Dornogovi,1998,
TOTAL,   Dornogovi,1997,
TOTAL,   Dornogovi,1996,
TOTAL,   Dornogovi,1995,
TOTAL,   Dundgovi,2024,2036.1
TOTAL,   Dundgovi,2023,1422.8
TOTAL,   Dundgovi,2022,1095.5
TOTAL,   Dundgovi,2021,970.3
TOTAL,   Dundgovi,2020,919.1
TOTAL,   Dundgovi,2019,799.9
TOTAL,   Dundgovi,2018,656.3
TOTAL,   Dundgovi,2017,642.5
TOTAL,   Dundgovi,2016,636.7
TOTAL,   Dundgovi,2015,619.4
TOTAL,   Dundgovi,2014,592.1
TOTAL,   Dundgovi,2013,652.0
TOTAL,   Dundgovi,2012,490.2
TOTAL,   Dundgovi,2011,351.1
TOTAL,   Dundgovi,2010,292.0
TOTAL,   Dundgovi,2009,263.9
TOTAL,   Dundgovi,2008,258.6
TOTAL,   Dundgovi,2007,148.7
TOTAL,   Dundgovi,2006,108.1
TOTAL,   Dundgovi,2005,86.5
TOTAL,   Dundgovi,2004,78.7
TOTAL,   Dundgovi,2003,64.5
TOTAL,   Dundgovi,2002,58.1
TOTAL,   Dundgovi,2001,54.6
TOTAL,   Dundgovi,2000,46.2
TOTAL,   Dundgovi,1999,
TOTAL,   Dundgovi,1998,
TOTAL,   Dundgovi,1997,
TOTAL,   Dundgovi,1996,
TOTAL,   Dundgovi,1995,
TOTAL,   Umnugovi,2024,2824.5
TOTAL,   Umnugovi,2023,2383.9
TOTAL,   Umnugovi,2022,1748.5
TOTAL,   Umnugovi,2021,1264.3
TOTAL,   Umnugovi,2020,1220.3
TOTAL,   Umnugovi,2019,1080.4
TOTAL,   Umnugovi,2018,933.9
TOTAL,   Umnugovi,2017,857.7
TOTAL,   Umnugovi,2016,750.7
TOTAL,   Umnugovi,2015,801.3
TOTAL,   Umnugovi,2014,785.1
TOTAL,   Umnugovi,2013,1031.9
TOTAL,   Umnugovi,2012,581.3
TOTAL,   Umnugovi,2011,519.4
TOTAL,   Umnugovi,2010,377.9
TOTAL,   Umnugovi,2009,296.6
TOTAL,   Umnugovi,2008,287.1
TOTAL,   Umnugovi,2007,193.4
TOTAL,   Umnugovi,2006,127.3
TOTAL,   Umnugovi,2005,97.1
TOTAL,   Umnugovi,2004,92.6
TOTAL,   Umnugovi,2003,78.9
TOTAL,   Umnugovi,2002,64.6
TOTAL,   Umnugovi,2001,62.2
TOTAL,   Umnugovi,2000,56.3
TOTAL,   Umnugovi,1999,
TOTAL,   Umnugovi,1998,
TOTAL,   Umnugovi,1997,
TOTAL,   Umnugovi,1996,
TOTAL,   Umnugovi,1995,
TOTAL,   Selenge,2024,2228.8
TOTAL,   Selenge,2023,1657.5
TOTAL,   Selenge,2022,1315.9
TOTAL,   Selenge,2021,1130.9
TOTAL,   Selenge,2020,1043.0
TOTAL,   Selenge,2019,921.8
TOTAL,   Selenge,2018,789.0
TOTAL,   Selenge,2017,710.8
TOTAL,   Selenge,2016,667.2
TOTAL,   Selenge,2015,668.4
TOTAL,   Selenge,2014,639.3
TOTAL,   Selenge,2013,639.4
TOTAL,   Selenge,2012,508.5
TOTAL,   Selenge,2011,427.7
TOTAL,   Selenge,2010,307.7
TOTAL,   Selenge,2009,287.1
TOTAL,   Selenge,2008,291.5
TOTAL,   Selenge,2007,166.9
TOTAL,   Selenge,2006,134.6
TOTAL,   Selenge,2005,108.6
TOTAL,   Selenge,2004,79.2
TOTAL,   Selenge,2003,75.4
TOTAL,   Selenge,2002,66.4
TOTAL,   Selenge,2001,59.3
TOTAL,   Selenge,2000,60.1
TOTAL,   Selenge,1999,
TOTAL,   Selenge,1998,
TOTAL,   Selenge,1997,
TOTAL,   Selenge,1996,
TOTAL,   Selenge,1995,
TOTAL,   Tuv,2024,2010.9
TOTAL,   Tuv,2023,1497.6
TOTAL,   Tuv,2022,1131.6
TOTAL,   Tuv,2021,1000.5
TOTAL,   Tuv,2020,946.7
TOTAL,   Tuv,2019,788.4
TOTAL,   Tuv,2018,671.0
TOTAL,   Tuv,2017,656.1
TOTAL,   Tuv,2016,623.3
TOTAL,   Tuv,2015,600.0
TOTAL,   Tuv,2014,580.6
TOTAL,   Tuv,2013,564.2
TOTAL,   Tuv,2012,466.9
TOTAL,   Tuv,2011,331.9
TOTAL,   Tuv,2010,286.5
TOTAL,   Tuv,2009,255.5
TOTAL,   Tuv,2008,243.7
TOTAL,   Tuv,2007,142.5
TOTAL,   Tuv,2006,96.0
TOTAL,   Tuv,2005,74.5
TOTAL,   Tuv,2004,75.3
TOTAL,   Tuv,2003,70.1
TOTAL,   Tuv,2002,66.2
TOTAL,   Tuv,2001,54.6
TOTAL,   Tuv,2000,45.0
TOTAL,   Tuv,1999,
TOTAL,   Tuv,1998,
TOTAL,   Tuv,1997,
TOTAL,   Tuv,1996,
TOTAL,   Tuv,1995,
TOTAL,   Darkhan-Uul,2024,2139.7
TOTAL,   Darkhan-Uul,2023,1669.0
TOTAL,   Darkhan-Uul,2022,1308.5
TOTAL,   Darkhan-Uul,2021,1151.1
TOTAL,   Darkhan-Uul,2020,1078.0
TOTAL,   Darkhan-Uul,2019,961.8
TOTAL,   Darkhan-Uul,2018,845.1
TOTAL,   Darkhan-Uul,2017,805.2
TOTAL,   Darkhan-Uul,2016,739.4
TOTAL,   Darkhan-Uul,2015,695.7
TOTAL,   Darkhan-Uul,2014,714.2
TOTAL,   Darkhan-Uul,2013,664.8
TOTAL,   Darkhan-Uul,2012,612.8
TOTAL,   Darkhan-Uul,2011,483.8
TOTAL,   Darkhan-Uul,2010,395.8
TOTAL,   Darkhan-Uul,2009,304.2
TOTAL,   Darkhan-Uul,2008,311.3
TOTAL,   Darkhan-Uul,2007,197.6
TOTAL,   Darkhan-Uul,2006,153.2
TOTAL,   Darkhan-Uul,2005,124.5
TOTAL,   Darkhan-Uul,2004,133.6
TOTAL,   Darkhan-Uul,2003,104.8
TOTAL,   Darkhan-Uul,2002,89.0
TOTAL,   Darkhan-Uul,2001,74.1
TOTAL,   Darkhan-Uul,2000,70.1
TOTAL,   Darkhan-Uul,1999,
TOTAL,   Darkhan-Uul,1998,
TOTAL,   Darkhan-Uul,1997,
TOTAL,   Darkhan-Uul,1996,
TOTAL,   Darkhan-Uul,1995,
TOTAL,   Govisumber,2024,2421.8
TOTAL,   Govisumber,2023,1885.5
TOTAL,   Govisumber,2022,1480.4
TOTAL,   Govisumber,2021,1271.0
TOTAL,   Govisumber,2020,1177.0
TOTAL,   Govisumber,2019,1052.8
TOTAL,   Govisumber,2018,918.0
TOTAL,   Govisumber,2017,873.5
TOTAL,   Govisumber,2016,799.9
TOTAL,   Govisumber,2015,769.0
TOTAL,   Govisumber,2014,755.9
TOTAL,   Govisumber,2013,797.1
TOTAL,   Govisumber,2012,736.9
TOTAL,   Govisumber,2011,606.8
TOTAL,   Govisumber,2010,531.7
TOTAL,   Govisumber,2009,409.4
TOTAL,   Govisumber,2008,352.9
TOTAL,   Govisumber,2007,224.7
TOTAL,   Govisumber,2006,184.6
TOTAL,   Govisumber,2005,145.5
TOTAL,   Govisumber,2004,123.8
TOTAL,   Govisumber,2003,110.3
TOTAL,   Govisumber,2002,88.7
TOTAL,   Govisumber,2001,75.7
TOTAL,   Govisumber,2000,75.9
TOTAL,   Govisumber,1999,
TOTAL,   Govisumber,1998,
TOTAL,   Govisumber,1997,
TOTAL,   Govisumber,1996,
TOTAL,   Govisumber,1995,
TOTAL,Eastern region,2024,2072.2
TOTAL,Eastern region,2023,1576.7
TOTAL,Eastern region,2022,1183.4
TOTAL,Eastern region,2021,1042.3
TOTAL,Eastern region,2020,987.0
TOTAL,Eastern region,2019,856.7
TOTAL,Eastern region,2018,728.2
TOTAL,Eastern region,2017,705.6
TOTAL,Eastern region,2016,663.0
TOTAL,Eastern region,2015,635.0
TOTAL,Eastern region,2014,602.3
TOTAL,Eastern region,2013,630.0
TOTAL,Eastern region,2012,488.6
TOTAL,Eastern region,2011,365.6
TOTAL,Eastern region,2010,306.2
TOTAL,Eastern region,2009,280.9
TOTAL,Eastern region,2008,255.6
TOTAL,Eastern region,2007,161.1
TOTAL,Eastern region,2006,113.5
TOTAL,Eastern region,2005,90.0
TOTAL,Eastern region,2004,74.9
TOTAL,Eastern region,2003,67.0
TOTAL,Eastern region,2002,59.4
TOTAL,Eastern region,2001,55.2
TOTAL,Eastern region,2000,50.8
TOTAL,Eastern region,1999,
TOTAL,Eastern region,1998,
TOTAL,Eastern region,1997,
TOTAL,Eastern region,1996,
TOTAL,Eastern region,1995,
TOTAL,   Dornod,2024,2065.7
TOTAL,   Dornod,2023,1647.3
TOTAL,   Dornod,2022,1225.3
TOTAL,   Dornod,2021,1070.0
TOTAL,   Dornod,2020,1009.5
TOTAL,   Dornod,2019,894.5
TOTAL,   Dornod,2018,780.1
