Type of livestock,Region,Year,value
Horse,            Bulgan,1984,100.9
Horse,            Bulgan,1983,97.2
Horse,            Bulgan,1982,96.7
Horse,            Bulgan,1981,92.5
Horse,            Bulgan,1980,90.3
Horse,            Bulgan,1979,89.6
Horse,            Bulgan,1978,90.2
Horse,            Bulgan,1977,88.6
Horse,            Bulgan,1976,96.7
Horse,            Bulgan,1975,102.7
Horse,            Bulgan,1974,100.5
Horse,            Bulgan,1973,96.6
Horse,            Bulgan,1972,102.2
Horse,            Bulgan,1971,105.9
Horse,            Bulgan,1970,107.3
Horse,            Orkhon,2024,25.5
Horse,            Orkhon,2023,21.2
Horse,            Orkhon,2022,17.4
Horse,            Orkhon,2021,15.7
Horse,            Orkhon,2020,12.8
Horse,            Orkhon,2019,12.2
Horse,            Orkhon,2018,11.3
Horse,            Orkhon,2017,12.3
Horse,            Orkhon,2016,11.3
Horse,            Orkhon,2015,9.1
Horse,            Orkhon,2014,9.1
Horse,            Orkhon,2013,11.6
Horse,            Orkhon,2012,11.8
Horse,            Orkhon,2011,11.8
Horse,            Orkhon,2010,10.7
Horse,            Orkhon,2009,11.4
Horse,            Orkhon,2008,11.3
Horse,            Orkhon,2007,10.5
Horse,            Orkhon,2006,9.2
Horse,            Orkhon,2005,7.8
Horse,            Orkhon,2004,9.7
Horse,            Orkhon,2003,7.8
Horse,            Orkhon,2002,11.6
Horse,            Orkhon,2001,11.6
Horse,            Orkhon,2000,11.5
Horse,            Orkhon,1999,12.8
Horse,            Orkhon,1998,10.9
Horse,            Orkhon,1997,10.8
Horse,            Orkhon,1996,11.5
Horse,            Orkhon,1995,11.5
Horse,            Orkhon,1994,8.6
Horse,            Orkhon,1993,8.3
Horse,            Orkhon,1992,6.6
Horse,            Orkhon,1991,5.3
Horse,            Orkhon,1990,4.3
Horse,            Orkhon,1989,3.1
Horse,            Orkhon,1988,2.6
Horse,            Orkhon,1987,2.3
Horse,            Orkhon,1986,2.1
Horse,            Orkhon,1985,2.1
Horse,            Orkhon,1984,1.9
Horse,            Orkhon,1983,1.7
Horse,            Orkhon,1982,1.5
Horse,            Orkhon,1981,1.1
Horse,            Orkhon,1980,0.7
Horse,            Orkhon,1979,3.7
Horse,            Orkhon,1978,0.5
Horse,            Orkhon,1977,0.5
Horse,            Orkhon,1976,0.3
Horse,            Orkhon,1975,
Horse,            Orkhon,1974,
Horse,            Orkhon,1973,
Horse,            Orkhon,1972,
Horse,            Orkhon,1971,
Horse,            Orkhon,1970,
Horse,            Khuvsgul,2024,375.9
Horse,            Khuvsgul,2023,362.7
Horse,            Khuvsgul,2022,348.5
Horse,            Khuvsgul,2021,305.6
Horse,            Khuvsgul,2020,271.5
Horse,            Khuvsgul,2019,281.8
Horse,            Khuvsgul,2018,262.0
Horse,            Khuvsgul,2017,240.3
Horse,            Khuvsgul,2016,223.4
Horse,            Khuvsgul,2015,195.7
Horse,            Khuvsgul,2014,183.3
Horse,            Khuvsgul,2013,165.5
Horse,            Khuvsgul,2012,161.2
Horse,            Khuvsgul,2011,155.3
Horse,            Khuvsgul,2010,148.7
Horse,            Khuvsgul,2009,155.7
Horse,            Khuvsgul,2008,151.8
Horse,            Khuvsgul,2007,149.6
Horse,            Khuvsgul,2006,148.9
Horse,            Khuvsgul,2005,148.0
Horse,            Khuvsgul,2004,156.1
Horse,            Khuvsgul,2003,164.9
Horse,            Khuvsgul,2002,168.3
Horse,            Khuvsgul,2001,167.7
Horse,            Khuvsgul,2000,229.3
Horse,            Khuvsgul,1999,251.6
Horse,            Khuvsgul,1998,235.6
Horse,            Khuvsgul,1997,227.8
Horse,            Khuvsgul,1996,217.7
Horse,            Khuvsgul,1995,205.8
Horse,            Khuvsgul,1994,190.3
Horse,            Khuvsgul,1993,172.4
Horse,            Khuvsgul,1992,169.7
Horse,            Khuvsgul,1991,171.1
Horse,            Khuvsgul,1990,168.3
Horse,            Khuvsgul,1989,158.6
Horse,            Khuvsgul,1988,152.7
Horse,            Khuvsgul,1987,147.8
Horse,            Khuvsgul,1986,143.0
Horse,            Khuvsgul,1985,137.2
Horse,            Khuvsgul,1984,129.1
Horse,            Khuvsgul,1983,124.7
Horse,            Khuvsgul,1982,122.9
Horse,            Khuvsgul,1981,120.7
Horse,            Khuvsgul,1980,116.5
Horse,            Khuvsgul,1979,115.8
Horse,            Khuvsgul,1978,116.1
Horse,            Khuvsgul,1977,118.7
Horse,            Khuvsgul,1976,124.8
Horse,            Khuvsgul,1975,134.1
Horse,            Khuvsgul,1974,138.3
Horse,            Khuvsgul,1973,137.6
Horse,            Khuvsgul,1972,146.0
Horse,            Khuvsgul,1971,149.8
Horse,            Khuvsgul,1970,147.0
Horse,    Central region,2024,608.8
Horse,    Central region,2023,587.5
Horse,    Central region,2022,549.6
Horse,    Central region,2021,498.9
Horse,    Central region,2020,494.7
Horse,    Central region,2019,494.2
Horse,    Central region,2018,456.6
Horse,    Central region,2017,488.0
Horse,    Central region,2016,493.1
Horse,    Central region,2015,457.7
Horse,    Central region,2014,424.9
Horse,    Central region,2013,367.9
Horse,    Central region,2012,326.0
Horse,    Central region,2011,299.3
Horse,    Central region,2010,271.8
Horse,    Central region,2009,301.7
Horse,    Central region,2008,279.0
Horse,    Central region,2007,268.3
Horse,    Central region,2006,244.9
Horse,    Central region,2005,224.0
Horse,    Central region,2004,216.8
Horse,    Central region,2003,216.7
Horse,    Central region,2002,244.0
Horse,    Central region,2001,253.7
Horse,    Central region,2000,308.2
Horse,    Central region,1999,362.6
Horse,    Central region,1998,359.0
Horse,    Central region,1997,332.7
Horse,    Central region,1996,313.7
Horse,    Central region,1995,300.0
Horse,    Central region,1994,269.5
Horse,    Central region,1993,255.2
Horse,    Central region,1992,250.6
Horse,    Central region,1991,254.0
Horse,    Central region,1990,244.9
Horse,    Central region,1989,230.2
Horse,    Central region,1988,211.7
Horse,    Central region,1987,201.0
Horse,    Central region,1986,192.3
Horse,    Central region,1985,184.8
Horse,    Central region,1984,180.7
Horse,    Central region,1983,183.0
Horse,    Central region,1982,183.1
Horse,    Central region,1981,177.4
Horse,    Central region,1980,176.3
Horse,    Central region,1979,184.6
Horse,    Central region,1978,178.0
Horse,    Central region,1977,178.2
Horse,    Central region,1976,189.1
Horse,    Central region,1975,201.4
Horse,    Central region,1974,189.9
Horse,    Central region,1973,179.9
Horse,    Central region,1972,188.5
Horse,    Central region,1971,198.3
Horse,    Central region,1970,199.5
Horse,            Darkhan-Uul,2024,24.6
Horse,            Darkhan-Uul,2023,21.9
Horse,            Darkhan-Uul,2022,21.6
Horse,            Darkhan-Uul,2021,22.1
Horse,            Darkhan-Uul,2020,20.3
Horse,            Darkhan-Uul,2019,19.3
Horse,            Darkhan-Uul,2018,17.7
Horse,            Darkhan-Uul,2017,17.0
Horse,            Darkhan-Uul,2016,16.9
Horse,            Darkhan-Uul,2015,14.7
Horse,            Darkhan-Uul,2014,14.2
Horse,            Darkhan-Uul,2013,12.8
Horse,            Darkhan-Uul,2012,11.3
Horse,            Darkhan-Uul,2011,11.0
Horse,            Darkhan-Uul,2010,10.2
Horse,            Darkhan-Uul,2009,11.1
Horse,            Darkhan-Uul,2008,10.4
Horse,            Darkhan-Uul,2007,7.9
Horse,            Darkhan-Uul,2006,7.8
Horse,            Darkhan-Uul,2005,7.5
Horse,            Darkhan-Uul,2004,8.1
Horse,            Darkhan-Uul,2003,8.6
Horse,            Darkhan-Uul,2002,10.7
Horse,            Darkhan-Uul,2001,13.2
Horse,            Darkhan-Uul,2000,12.7
Horse,            Darkhan-Uul,1999,12.7
Horse,            Darkhan-Uul,1998,12.2
Horse,            Darkhan-Uul,1997,11.0
Horse,            Darkhan-Uul,1996,11.3
Horse,            Darkhan-Uul,1995,11.6
Horse,            Darkhan-Uul,1994,10.8
Horse,            Darkhan-Uul,1993,10.3
Horse,            Darkhan-Uul,1992,10.3
Horse,            Darkhan-Uul,1991,9.6
Horse,            Darkhan-Uul,1990,7.8
Horse,            Darkhan-Uul,1989,6.3
Horse,            Darkhan-Uul,1988,5.4
Horse,            Darkhan-Uul,1987,4.8
Horse,            Darkhan-Uul,1986,4.0
Horse,            Darkhan-Uul,1985,4.0
Horse,            Darkhan-Uul,1984,3.7
Horse,            Darkhan-Uul,1983,3.3
Horse,            Darkhan-Uul,1982,3.1
Horse,            Darkhan-Uul,1981,2.0
Horse,            Darkhan-Uul,1980,2.0
Horse,            Darkhan-Uul,1979,7.3
Horse,            Darkhan-Uul,1978,1.8
Horse,            Darkhan-Uul,1977,1.7
Horse,            Darkhan-Uul,1976,1.6
Horse,            Darkhan-Uul,1975,1.4
Horse,            Darkhan-Uul,1974,1.3
Horse,            Darkhan-Uul,1973,1.1
Horse,            Darkhan-Uul,1972,1.2
Horse,            Darkhan-Uul,1971,0.8
Horse,            Darkhan-Uul,1970,0.8
Horse,            Selenge,2024,150.5
Horse,            Selenge,2023,140.3
Horse,            Selenge,2022,129.2
Horse,            Selenge,2021,119.9
Horse,            Selenge,2020,109.7
Horse,            Selenge,2019,103.4
Horse,            Selenge,2018,97.6
Horse,            Selenge,2017,95.4
Horse,            Selenge,2016,93.6
Horse,            Selenge,2015,82.2
Horse,            Selenge,2014,79.8
Horse,            Selenge,2013,71.5
Horse,            Selenge,2012,68.1
Horse,            Selenge,2011,65.3
Horse,            Selenge,2010,61.8
Horse,            Selenge,2009,57.6
Horse,            Selenge,2008,55.8
Horse,            Selenge,2007,45.3
Horse,            Selenge,2006,39.2
Horse,            Selenge,2005,37.1
Horse,            Selenge,2004,39.5
Horse,            Selenge,2003,42.9
Horse,            Selenge,2002,47.6
Horse,            Selenge,2001,47.8
Horse,            Selenge,2000,45.9
Horse,            Selenge,1999,46.3
Horse,            Selenge,1998,44.1
Horse,            Selenge,1997,41.4
Horse,            Selenge,1996,40.8
Horse,            Selenge,1995,41.2
Horse,            Selenge,1994,38.6
Horse,            Selenge,1993,37.6
Horse,            Selenge,1992,34.9
Horse,            Selenge,1991,34.1
Horse,            Selenge,1990,33.8
Horse,            Selenge,1989,28.2
Horse,            Selenge,1988,25.5
Horse,            Selenge,1987,25.7
Horse,            Selenge,1986,24.8
Horse,            Selenge,1985,24.2
Horse,            Selenge,1984,22.8
Horse,            Selenge,1983,22.4
Horse,            Selenge,1982,21.4
Horse,            Selenge,1981,22.0
Horse,            Selenge,1980,21.4
Horse,            Selenge,1979,22.3
Horse,            Selenge,1978,23.2
Horse,            Selenge,1977,23.5
Horse,            Selenge,1976,21.3
Horse,            Selenge,1975,21.6
Horse,            Selenge,1974,21.5
Horse,            Selenge,1973,19.8
Horse,            Selenge,1972,17.2
Horse,            Selenge,1971,18.6
Horse,            Selenge,1970,17.9
Horse,            Tuv,2024,433.7
Horse,            Tuv,2023,425.2
Horse,            Tuv,2022,398.8
Horse,            Tuv,2021,356.8
Horse,            Tuv,2020,364.7
Horse,            Tuv,2019,371.4
Horse,            Tuv,2018,341.4
Horse,            Tuv,2017,375.6
Horse,            Tuv,2016,382.6
Horse,            Tuv,2015,360.8
Horse,            Tuv,2014,331.0
Horse,            Tuv,2013,283.6
Horse,            Tuv,2012,246.7
Horse,            Tuv,2011,223.0
Horse,            Tuv,2010,199.8
Horse,            Tuv,2009,233.1
Horse,            Tuv,2008,212.7
Horse,            Tuv,2007,215.0
Horse,            Tuv,2006,197.9
Horse,            Tuv,2005,179.4
Horse,            Tuv,2004,169.2
Horse,            Tuv,2003,165.2
Horse,            Tuv,2002,185.8
Horse,            Tuv,2001,192.7
Horse,            Tuv,2000,249.5
Horse,            Tuv,1999,303.6
Horse,            Tuv,1998,302.7
Horse,            Tuv,1997,280.3
Horse,            Tuv,1996,261.6
Horse,            Tuv,1995,247.3
Horse,            Tuv,1994,220.1
Horse,            Tuv,1993,207.3
Horse,            Tuv,1992,205.4
Horse,            Tuv,1991,210.3
Horse,            Tuv,1990,203.3
Horse,            Tuv,1989,195.8
Horse,            Tuv,1988,180.8
Horse,            Tuv,1987,170.6
Horse,            Tuv,1986,163.5
Horse,            Tuv,1985,156.5
Horse,            Tuv,1984,154.2
Horse,            Tuv,1983,157.2
Horse,            Tuv,1982,158.5
Horse,            Tuv,1981,153.4
Horse,            Tuv,1980,152.9
Horse,            Tuv,1979,155.0
Horse,            Tuv,1978,153.0
Horse,            Tuv,1977,152.9
Horse,            Tuv,1976,166.2
Horse,            Tuv,1975,178.4
Horse,            Tuv,1974,167.1
Horse,            Tuv,1973,159.1
Horse,            Tuv,1972,170.1
Horse,            Tuv,1971,179.0
Horse,            Tuv,1970,180.8
Horse,    Eastern region,2024,1013.4
Horse,    Eastern region,2023,1168.4
Horse,    Eastern region,2022,1199.3
Horse,    Eastern region,2021,1079.9
Horse,    Eastern region,2020,976.9
Horse,    Eastern region,2019,944.6
Horse,    Eastern region,2018,925.1
Horse,    Eastern region,2017,878.4
Horse,    Eastern region,2016,780.4
Horse,    Eastern region,2015,704.1
Horse,    Eastern region,2014,628.3
Horse,    Eastern region,2013,559.5
Horse,    Eastern region,2012,507.0
Horse,    Eastern region,2011,465.4
Horse,    Eastern region,2010,428.1
Horse,    Eastern region,2009,407.8
Horse,    Eastern region,2008,407.5
Horse,    Eastern region,2007,487.9
Horse,    Eastern region,2006,487.3
Horse,    Eastern region,2005,477.5
Horse,    Eastern region,2004,478.3
Horse,    Eastern region,2003,487.2
Horse,    Eastern region,2002,474.2
Horse,    Eastern region,2001,467.1
Horse,    Eastern region,2000,490.5
Horse,    Eastern region,1999,486.6
Horse,    Eastern region,1998,448.0
Horse,    Eastern region,1997,417.0
Horse,    Eastern region,1996,389.1
Horse,    Eastern region,1995,377.9
Horse,    Eastern region,1994,369.9
Horse,    Eastern region,1993,300.2
Horse,    Eastern region,1992,351.4
Horse,    Eastern region,1991,350.5
Horse,    Eastern region,1990,352.7
Horse,    Eastern region,1989,356.1
Horse,    Eastern region,1988,350.6
Horse,    Eastern region,1987,343.3
Horse,    Eastern region,1986,341.2
Horse,    Eastern region,1985,337.9
Horse,    Eastern region,1984,341.5
Horse,    Eastern region,1983,334.6
Horse,    Eastern region,1982,345.8
Horse,    Eastern region,1981,352.9
Horse,    Eastern region,1980,336.9
Horse,    Eastern region,1979,380.2
Horse,    Eastern region,1978,370.6
Horse,    Eastern region,1977,370.9
Horse,    Eastern region,1976,393.5
Horse,    Eastern region,1975,403.0
Horse,    Eastern region,1974,393.4
Horse,    Eastern region,1973,380.7
Horse,    Eastern region,1972,374.9
Horse,    Eastern region,1971,395.3
Horse,    Eastern region,1970,398.8
Horse,            Dornod,2024,438.2
Horse,            Dornod,2023,443.8
Horse,            Dornod,2022,420.2
Horse,            Dornod,2021,368.5
Horse,            Dornod,2020,324.5
Horse,            Dornod,2019,297.4
Horse,            Dornod,2018,278.8
Horse,            Dornod,2017,250.7
Horse,            Dornod,2016,225.0
Horse,            Dornod,2015,196.5
Horse,            Dornod,2014,176.5
Horse,            Dornod,2013,160.9
Horse,            Dornod,2012,150.8
Horse,            Dornod,2011,144.1
Horse,            Dornod,2010,136.3
Horse,            Dornod,2009,140.1
Horse,            Dornod,2008,145.5
Horse,            Dornod,2007,142.9
Horse,            Dornod,2006,135.0
Horse,            Dornod,2005,128.8
Horse,            Dornod,2004,124.7
Horse,            Dornod,2003,121.8
Horse,            Dornod,2002,115.6
Horse,            Dornod,2001,109.6
Horse,            Dornod,2000,105.5
Horse,            Dornod,1999,104.0
Horse,            Dornod,1998,95.4
Horse,            Dornod,1997,89.9
Horse,            Dornod,1996,87.0
Horse,            Dornod,1995,88.4
Horse,            Dornod,1994,92.8
Horse,            Dornod,1993,92.5
Horse,            Dornod,1992,92.4
Horse,            Dornod,1991,93.1
Horse,            Dornod,1990,92.0
Horse,            Dornod,1989,90.9
Horse,            Dornod,1988,87.9
Horse,            Dornod,1987,85.7
Horse,            Dornod,1986,83.9
Horse,            Dornod,1985,85.0
Horse,            Dornod,1984,84.3
Horse,            Dornod,1983,82.5
Horse,            Dornod,1982,83.4
Horse,            Dornod,1981,85.4
Horse,            Dornod,1980,81.0
Horse,            Dornod,1979,101.0
Horse,            Dornod,1978,99.3
Horse,            Dornod,1977,103.8
Horse,            Dornod,1976,108.1
Horse,            Dornod,1975,110.9
Horse,            Dornod,1974,106.5
Horse,            Dornod,1973,103.3
Horse,            Dornod,1972,98.3
Horse,            Dornod,1971,103.0
Horse,            Dornod,1970,98.3
Horse,            Sukhbaatar,2024,289.4
Horse,            Sukhbaatar,2023,366.3
Horse,            Sukhbaatar,2022,402.5
Horse,            Sukhbaatar,2021,364.6
Horse,            Sukhbaatar,2020,331.0
Horse,            Sukhbaatar,2019,321.9
Horse,            Sukhbaatar,2018,327.3
Horse,            Sukhbaatar,2017,315.6
Horse,            Sukhbaatar,2016,274.7
Horse,            Sukhbaatar,2015,259.6
Horse,            Sukhbaatar,2014,231.2
Horse,            Sukhbaatar,2013,203.1
Horse,            Sukhbaatar,2012,183.6
Horse,            Sukhbaatar,2011,164.9
Horse,            Sukhbaatar,2010,148.1
Horse,            Sukhbaatar,2009,131.5
Horse,            Sukhbaatar,2008,118.8
Horse,            Sukhbaatar,2007,166.0
Horse,            Sukhbaatar,2006,176.3
Horse,            Sukhbaatar,2005,177.7
Horse,            Sukhbaatar,2004,185.5
Horse,            Sukhbaatar,2003,194.7
Horse,            Sukhbaatar,2002,188.8
Horse,            Sukhbaatar,2001,182.9
Horse,            Sukhbaatar,2000,192.2
Horse,            Sukhbaatar,1999,188.3
Horse,            Sukhbaatar,1998,169.4
